name,target_mode,waypoint,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_soc6_target,delta_vs_v002
midnight_hybrid_morning_c0.8_n12_soft,forecast,midnight,hybrid_morning,0.8,0.0,12,soft,13735719.789493352,13398747.547625134,281074.17782993877,55898.06403828126,21383222.564799055,21013542.553622164,628926.4465043701,998606.4576812659,10481.842274718041,1929968.368818149,7631.22047140219,1200.0,10800.0,8497.099267221653,8476.974433947695,6110084.51049588,4955217.978383815,7641.936919909071,214310.08204111643
midnight_hybrid_morning_c0.8_n12_ge,forecast,midnight,hybrid_morning,0.8,0.0,12,ge,13746307.730562966,13398155.176203687,292335.5132210018,55817.04113828014,21381627.54839231,21017618.602750946,634561.5157196752,998570.4613610401,10469.789779366442,1935256.0318123386,7634.789910516988,1200.0,10800.0,8501.397215623063,8481.272382349107,6103644.161228741,4950001.295477432,7641.936919909071,224898.02311073057
six_fixed5000_n48_ge,fixed,six,,0.0,5000.0,48,ge,13791258.160575932,12757820.728229724,976977.4836941096,56459.94865209949,20496575.000681132,21150051.304431364,1596513.4312680317,943037.1275178021,9418.325036011061,2006468.5689588673,7463.699333980878,1200.0,10800.0,5651.49439991177,5649.3827317998575,6391822.805138318,5178011.239596479,5000.0,269848.45312369615
six_fixed5000_n12_soft,fixed,six,,0.0,5000.0,12,soft,13791258.160575932,12757820.728229724,976977.4836941096,56459.94865209949,20496575.000681132,21150051.304431364,1596513.4312680317,943037.1275178021,9418.325036011061,2006468.5689588673,7463.698952409763,1200.0,10800.0,5651.49439991177,5649.3827317998575,6391822.805138318,5178011.239596479,5000.0,269848.45312369615
six_fixed5000_n12_ge,fixed,six,,0.0,5000.0,12,ge,13791258.160575932,12757820.728229724,976977.4836941096,56459.94865209949,20496575.000681132,21150051.304431364,1596513.4312680317,943037.1275178021,9418.325036011061,2006468.5689588673,7463.699333980878,1200.0,10800.0,5651.49439991177,5649.3827317998575,6391822.805138318,5178011.239596479,5000.0,269848.45312369615
six_fixed5000_n48_soft,fixed,six,,0.0,5000.0,48,soft,13791258.160575932,12757820.728229724,976977.4836941096,56459.94865209949,20496575.000681132,21150051.304431364,1596513.4312680317,943037.1275178021,9418.325036011061,2006468.5689588673,7463.698952409763,1200.0,10800.0,5651.49439991177,5649.3827317998575,6391822.805138318,5178011.239596479,5000.0,269848.45312369615
midnight_fixed3000_n12_soft,fixed,midnight,,0.0,3000.0,12,soft,13815910.438660288,13538745.26654824,213250.51027529687,63914.661836751075,21296968.95647925,20684345.64040832,490966.01961977483,1103589.3356907074,11406.34558933873,1699004.5570222356,6215.1757662481305,1200.0,10800.0,3746.7430659328415,3744.7359501283427,5569269.857997837,4511711.92398908,3000.0,294500.7312080525
midnight_fixed3000_n12_ge,fixed,midnight,,0.0,3000.0,12,ge,13815910.438660288,13538745.26654824,213250.51027529687,63914.661836751075,21296968.95647925,20684345.64040832,490966.01961977483,1103589.3356907074,11406.34558933873,1699004.5570222356,6215.176147819247,1200.0,10800.0,3746.7430659328415,3744.7359501283427,5569269.857997837,4511711.92398908,3000.0,294500.7312080525
six_hist_morning_c0.5_n48_soft,forecast,six,hist_morning,0.5,0.0,48,soft,13821730.511631371,12596672.295747839,1164440.076600451,60618.139283082644,20119060.57654295,21057999.312308863,1890067.0188150872,951128.2830491767,11196.85301126986,1923325.0022908682,7376.490404920433,1200.0,10800.0,6395.954447688432,6382.883221962913,6371636.20271416,5164954.534651562,5807.710051923929,300320.8041791357
six_hist_morning_c0.5_n12_soft,forecast,six,hist_morning,0.5,0.0,12,soft,13821730.511631371,12596672.295747839,1164440.076600451,60618.139283082644,20119060.57654295,21057999.312308863,1890067.0188150872,951128.2830491767,11196.85301126986,1923325.0022908682,7376.490404920433,1200.0,10800.0,6395.954447688432,6382.883221962913,6371636.20271416,5164954.534651562,5807.710051923929,300320.8041791357
six_hybrid_morning_c0.5_n48_soft,forecast,six,hybrid_morning,0.5,0.0,48,soft,13840614.833206393,12563847.501203738,1216165.9874264835,60601.3445761697,20042028.128016777,21061871.525639094,1969950.5732419211,950107.1756196073,11190.859937284094,1927043.0817768855,7387.961280745646,1200.0,10800.0,6603.789396194697,6591.286353396285,6371516.9657791015,5164687.156946275,5927.882253020813,319205.1257541571
six_hybrid_morning_c0.5_n12_soft,forecast,six,hybrid_morning,0.5,0.0,12,soft,13840614.833206393,12563847.501203738,1216165.9874264835,60601.3445761697,20042028.128016777,21061871.525639094,1969950.5732419211,950107.1756196073,11190.859937284094,1927043.0817768855,7387.961280745646,1200.0,10800.0,6603.789396194697,6591.286353396285,6371516.9657791015,5164687.156946275,5927.882253020813,319205.1257541571
